Timestamp,miners-revenue
2020-06-22 00:00:00,8923565.20117743
2020-06-23 00:00:00,9964641.89522986
2020-06-24 00:00:00,8594577.4593605
2020-06-25 00:00:00,8504016.54820617
2020-06-26 00:00:00,9950436.65769901
2020-06-27 00:00:00,8059992.05896448
2020-06-28 00:00:00,8666896.61256926
2020-06-29 00:00:00,8562734.80271627
2020-06-30 00:00:00,8801310.46204946
2020-07-01 00:00:00,10124055.9362646
2020-07-02 00:00:00,9907317.70423729
2020-07-03 00:00:00,9873738.20676215
2020-07-04 00:00:00,9203934.10591
2020-07-05 00:00:00,9453537.18129459
2020-07-06 00:00:00,9573702.5263014
2020-07-07 00:00:00,9827305.84595956
2020-07-08 00:00:00,9269106.00709557
2020-07-09 00:00:00,10324012.452296
2020-07-10 00:00:00,9821730.66445103
2020-07-11 00:00:00,9308390.99757443
2020-07-12 00:00:00,9012154.57131376
2020-07-13 00:00:00,8910800.3628078
2020-07-14 00:00:00,9003009.80517444
2020-07-15 00:00:00,8552242.70922882
2020-07-16 00:00:00,8476261.34494985
2020-07-17 00:00:00,7439212.40619956
2020-07-18 00:00:00,8257260.54422192
2020-07-19 00:00:00,8030628.81677879
2020-07-20 00:00:00,8809861.14917053
2020-07-21 00:00:00,8215338.73446885
2020-07-22 00:00:00,9764974.36846801
2020-07-23 00:00:00,9402091.57921377
2020-07-24 00:00:00,10810915.0426475
2020-07-25 00:00:00,9515131.31193061
2020-07-26 00:00:00,10587041.6037513
2020-07-27 00:00:00,11099308.3016979
2020-07-28 00:00:00,12037341.111269
2020-07-29 00:00:00,12189404.7472878
2020-07-30 00:00:00,11301864.6984554
2020-07-31 00:00:00,12639960.4220093
2020-08-01 00:00:00,11439834.2341845
2020-08-02 00:00:00,11205874.8463142
2020-08-03 00:00:00,12873862.5784736
2020-08-04 00:00:00,11438679.0832375
2020-08-05 00:00:00,10806917.3916886
2020-08-06 00:00:00,13771270.4382111
2020-08-07 00:00:00,12898632.9438048
2020-08-08 00:00:00,11292366.647165
2020-08-09 00:00:00,12105371.3641104
2020-08-10 00:00:00,11774383.1865932
2020-08-11 00:00:00,12966824.4492047
2020-08-12 00:00:00,12684820.6087768
2020-08-13 00:00:00,11879252.2971003
2020-08-14 00:00:00,13709961.9922364
2020-08-15 00:00:00,12537672.5372401
2020-08-16 00:00:00,12130221.317492
2020-08-17 00:00:00,10390360.2175087
2020-08-18 00:00:00,12747409.9454137
2020-08-19 00:00:00,11920459.626279147
2020-08-20 00:00:00,12309250.391919043
2020-08-21 00:00:00,12988330.809193192
2020-08-22 00:00:00,11060458.286919411
2020-08-23 00:00:00,12250514.724347962
2020-08-24 00:00:00,11845489.149642441
2020-08-25 00:00:00,10414543.565818902
2020-08-26 00:00:00,11345447.778234858
2020-08-27 00:00:00,10690122.01226198
2020-08-28 00:00:00,13003916.081702596
2020-08-29 00:00:00,11257775.012961268
2020-08-30 00:00:00,9959939.36462156
2020-08-31 00:00:00,12191565.474340877
2020-09-01 00:00:00,12943722.052071035
2020-09-02 00:00:00,12071209.204979686
2020-09-03 00:00:00,10387319.325323954
2020-09-04 00:00:00,10521917.64225536
2020-09-05 00:00:00,10426131.583986409
2020-09-06 00:00:00,10418304.66587639
2020-09-07 00:00:00,12203310.681068864
2020-09-08 00:00:00,10676168.86571476
2020-09-09 00:00:00,10385265.13427389
2020-09-10 00:00:00,11342158.755076
2020-09-11 00:00:00,9984827.136857176
2020-09-12 00:00:00,11755971.409291402
2020-09-13 00:00:00,11038733.637861196
2020-09-14 00:00:00,12485219.771708764
2020-09-15 00:00:00,11329376.27027292
2020-09-16 00:00:00,11397006.21477204
2020-09-17 00:00:00,12881875.598747488
2020-09-18 00:00:00,12027086.744657055
2020-09-19 00:00:00,10777756.114914745
2020-09-20 00:00:00,10041684.798421945
2020-09-21 00:00:00,10351909.518035322
2020-09-22 00:00:00,9208013.41541779
2020-09-23 00:00:00,10252434.95536237
2020-09-24 00:00:00,9928235.838903904
2020-09-25 00:00:00,12502201.347978113
2020-09-26 00:00:00,10759364.728825692
2020-09-27 00:00:00,10713359.143363992
2020-09-28 00:00:00,9531618.970526235
2020-09-29 00:00:00,10337349.261857346
2020-09-30 00:00:00,11484361.336782591
2020-10-01 00:00:00,9416443.242984341
2020-10-02 00:00:00,10232863.851096012
2020-10-03 00:00:00,10855303.17414383
2020-10-04 00:00:00,11055916.218426451
2020-10-05 00:00:00,10710768.428353487
2020-10-06 00:00:00,10054284.607074086
2020-10-07 00:00:00,11193916.28524024
2020-10-08 00:00:00,12084850.912867788
2020-10-09 00:00:00,10965183.362031737
2020-10-10 00:00:00,11127194.8560519
2020-10-11 00:00:00,10659930.880493835
2020-10-12 00:00:00,11515021.100733979
2020-10-13 00:00:00,12872175.626639746
2020-10-14 00:00:00,11605343.496273927
2020-10-15 00:00:00,11814116.192273524
2020-10-16 00:00:00,11742282.088889891
2020-10-17 00:00:00,11674223.51603316
2020-10-18 00:00:00,8982105.736832837
